"CycID","BH.Q","ADJ.P","PER","LAG","AMP"
"Nol11","0.839847417840376","0.183333333333333","20","16","0.322026736237482"
"Snrnp40","1","1","24","10","0.0838529180022631"
"A1cf","1","1","20","0","0.416793537422997"
"Xpo1","1","1","24","0","0.369221674999356"
"Znf148","1","1","20","0","0.419123844140477"
"Ints7","0.839847417840376","0.183333333333333","20","18","0.27652569451951"
"Smc5","0.839847417840376","0.183333333333333","20","14","0.273062727877836"
"Cdc42bpb","1","1","20","16","0.237418324254326"
"Cyp4a12b","1","1","24","6","0.852771613671978"
"Ddb1","0.839847417840376","0.183333333333333","20","0","0.329269285611505"
"Rnf20","0.839847417840376","0.183333333333333","24","22","0.32696956002085"
"Noc2l","1","1","20","12","0.1271849600886"
"Paf1","1","1","20","16","0.140433255853323"
"Ugt1a1","1","1","20","10","0.122067664518209"
"Xpo7","1","0.611111111111111","24","22","0.216960782438532"
"Khsrp","1","1","20","2","0.472121936431976"
"Bag3","0.606912637828668","0.0305555555555556","20","18","0.811379946187285"
"Nup88","1","1","20","16","0.0781075998088742"
"Champ1","1","1","20","2","0.139808950846483"
"Gle1","1","1","24","6","0.158435682662346"
"Itgb1","0.839847417840376","0.183333333333333","24","8","0.143330848925944"
"Rbm47","1","1","20","0","0.191919484913373"
"Med14","0.839847417840376","0.183333333333333","24","16","0.167617186418683"
"Rpl5","0.839847417840376","0.183333333333333","20","16","0.332662273767139"
"Hnrnph1","1","1","20","2","0.307789711440871"
"Hnrnph2","1","1","20","0","0.443937738088704"
"Tf","1","1","20","0","0.473978664428598"
"Tp53bp1","0.606912637828668","0.0305555555555556","24","20","0.547585454083358"
"Dis3","0.839847417840376","0.183333333333333","24","0","0.227145765342005"
"Myo6","0.839847417840376","0.183333333333333","20","8","0.232368338522718"
"Septin9","1","1","20","18","0.54055210628925"
"Myef2","1","1","20","0","0.0955234990277586"
"Acad11","1","0.611111111111111","24","4","0.3203436914561"
"Cdc73","1","1","20","16","0.0443877520704533"
"Alyref","1","0.611111111111111","20","6","0.158952347949818"
"Abcf1","1","1","20","18","0.220824840540449"
"Kat6a","1","1","24","18","0.099979083713177"
"Cherp","1","1","20","8","0.155426272626638"
"Polr1b","1","0.611111111111111","20","16","0.360733004516501"
"Cdkn2aip","1","1","20","8","0.351839707895511"
"Ogt","1","1","20","0","0.26788539051081"
"Ctcf","1","1","20","0","0.262141432532887"
"Sugp1","1","0.611111111111111","24","0","0.127804971293598"
"Cyp2j5","1","1","24","6","0.13864016916446"
"Hmgn5","1","1","20","0","0.495536460922599"
"Acsl5","1","1","20","10","0.180660946445581"
"Ctnnbl1","1","1","20","8","0.245916922926298"
"C3","0.606912637828668","0.0305555555555556","20","4","0.177219336895866"
"Macroh2a1","1","1","24","6","0.305415711982991"
"Bod1l","1","1","24","6","0.288037467032336"
"Zc3h13","1","1","20","8","0.453518565012817"
"Dcaf13","0.839847417840376","0.183333333333333","20","16","0.388040856906826"
"Cyp3a11","1","1","24","6","0.321717238120347"
"Sgpl1","1","0.611111111111111","20","14","0.185996629465392"
"Arid1a","1","1","24","6","0.14756652513433"
"Ncbp1","1","1","20","2","0.0620591172385224"
"Hnrnpc","1","1","20","0","0.411996678367369"
"Fam83h","1","1","24","18","0.312308805353041"
"Atp11c","0.606912637828668","0.0305555555555556","20","8","0.524586704549259"
"Hp1bp3","0.839847417840376","0.183333333333333","24","6","0.33503513736344"
