"CycID","JTK_pvalue","JTK_BH.Q","JTK_period","JTK_adjphase","JTK_amplitude","meta2d_Base","meta2d_AMP","meta2d_rAMP"
"Nup155","1","1","20","10","0.160892598347301","8.55024489400882","0.13248549441634","0.0154949356490564"
"Sptbn1","0.611111111111111","1","20","6","0.154720090721273","4.59094240527254","0.188526553448956","0.0410648918689199"
"Urb1","1","1","20","18","0.132609836261324","6.74695676897743","0.0712323965187488","0.0105577075647314"
"Trrap","0.0305555555555556","0.606912637828668","20","16","0.25137701314957","5.21100190205616","0.280207731005202","0.0537723332809833"
"Myh1","1","1","20","18","2.53690909257932","-4.51307767335076","2.3815690744608","0.527703985358753"
"Nup93","1","1","20","10","0.0715460531273691","8.92203119714531","0.0744799960454383","0.00834787442452217"
"Atrx","0.0305555555555556","0.606912637828668","24","4","0.289295939281429","3.70326554035667","0.439761895296813","0.118749760314098"
"Prpf6","0.611111111111111","1","24","18","0.0637910024425018","8.14975458576784","4.50335081393903e-05","5.52575021314552e-06"
"Spen","0.183333333333333","0.839847417840376","24","22","0.0812432742523927","4.06207423581631","0.0971996675168067","0.0239285798028439"
"Nup210","1","1","20","10","0.102779243443052","8.93468421499513","0.144497560844975","0.0161726544965589"
"Thrap3","1","1","20","10","0.213142192613657","8.08760523559367","0.161173054298302","0.0199284027352098"
"Srrm2","1","1","20","14","0.0879388608378023","5.9551222638882","0.0170756199223208","0.00286738360115076"
"Myh4","1","1","20","18","1.7562259333897","-6.31497827540971","1.19111093787677","0.188616791052934"
"Nup107","1","1","20","10","0.0869391130889839","7.86749490425576","0.102736457581983","0.0130583443436881"
"Ddx21","0.183333333333333","0.839847417840376","20","18","0.169522912702157","8.29994374166166","0.111921382846629","0.013484595357537"
"Nup214","0.611111111111111","1","20","14","0.0678160885505694","6.32986039717712","0.097193328536069","0.0153547349289747"
"Smchd1","0.611111111111111","1","20","14","0.134339746050518","4.79746236749498","0.246846696281174","0.0514535972087398"
"Lrp1","0.183333333333333","0.839847417840376","24","4","0.305643647826166","3.27675965215394","0.0705528905786454","0.0215312986206567"
"Sf3b3","1","1","20","16","0.0608692049485179","8.24662472289663","0.0403604687544906","0.00489418035992717"
"Dsp","0.183333333333333","0.839847417840376","24","8","0.515611558167257","3.1522305120435","0.475968714304825","0.150994260250425"
"Dido1","0.611111111111111","1","20","6","0.245992685225742","4.14396003604096","0.3427047647771","0.0826998237908955"
"Nipbl","1","1","24","6","0.0914571776143791","4.83477225801764","0.0815819020315642","0.0168739906820377"
"Sltm","1","1","20","14","0.093802651571597","6.61298948065479","0.0506203043845753","0.00765467789305528"
"Mad1l1","0.183333333333333","0.839847417840376","20","16","0.132651134338781","6.34691556234407","0.14556977760986","0.0229355150828724"
"Tasor","1","1","24","18","0.151807612981696","5.08668206422254","0.00837399413954825","0.00164625860901494"
"Smc3","1","1","20","10","0.152801292857648","6.07016139250528","0.147059715003833","0.0242266565079152"
"Mia3","1","1","20","10","0.261323931805762","4.30624584598918","0.135324202222575","0.031425099045057"
"Top2b","1","1","24","6","0.0557245413414654","6.55010273210425","0.0109721883712773","0.00167511698976856"
"Cdc5l","1","1","20","8","0.165966286090834","6.93472780118529","0.117217767988442","0.0169030092238671"
"Itpr2","1","1","24","12","0.104695253445292","3.25609330356736","0.0962318349822341","0.029554384967041"
"Smarca5","0.611111111111111","1","20","18","0.235159947518013","6.6542314318038","0.197430749764024","0.0296699553941582"
"Sf3a1","1","1","20","16","0.0678771847686784","7.66091240444542","0.0568447226842793","0.00742009824460254"
"Matr3","1","1","20","0","0.224737783390916","8.13046621012954","0.221912775204659","0.0272939791482294"
"Eppk1","1","1","20","6","0.140715441667953","4.16993585145767","0.199680861531359","0.0478858353328282"
"Ddx5","1","1","24","18","0.0418255808796737","9.27470563421669","0.0123432966833741","0.00133085589669139"
"Myh10","1","1","20","4","0.234825928383571","1.6449776907495","0.231278883568909","0.140596972755012"
"Setd2","1","1","24","18","0.237764494224248","4.37102453055985","0.131097641733922","0.0299924287354961"
"Safb2","0.183333333333333","0.839847417840376","24","18","0.188030623739837","6.25289436995943","0.287312870588659","0.0459487804510159"
"Tor1aip1","1","1","20","10","0.190142602048049","9.04818370430499","0.194599211202667","0.0215069916308264"
"Myh2","1","1","20","0","0.954349780983516","-6.26596542483721","0.303804027341416","0.0484847915274459"
"Cebpz","1","1","20","18","0.0681249667278419","6.3512710139149","0.0149908775345142","0.00236029567966332"
"Polr2b","0.611111111111111","1","20","0","0.0603476486093723","6.05446720065148","0.0952861369943364","0.0157381539673852"
"Pnn","0.611111111111111","1","20","16","0.172299174553438","8.23757190542387","0.105464850544312","0.012802905001032"
"Nono","1","1","20","10","0.166830999239644","9.4587520824157","0.100561139925312","0.0106315441031867"
"Ccar1","1","1","20","2","0.451922128974316","5.56864552213977","0.258098468337499","0.0463485182009438"
"Nup133","1","1","20","10","0.123541590792592","7.55224749142651","0.0992389043436171","0.013140314119244"
"Sart1","1","1","20","16","0.0992800778033332","6.74752410714783","0.0921816245066173","0.0136615480052849"
"Flna","1","1","20","0","0.445197336270835","1.39566032053838","0.301572813236478","0.21607894757669"
"Chd2","0.611111111111111","1","20","6","0.150878054981407","4.30419300982484","0.153805922609647","0.0357339743497949"
"Nup188","1","1","20","12","0.105897824212889","6.95031959107434","0.0709301665498387","0.0102053100753709"
"Mcm3ap","1","1","20","12","0.0943581517774361","6.17387057558075","0.0990707154745077","0.0160467755618911"
"Sympk","0.0305555555555556","0.606912637828668","24","20","0.107598220040542","5.92880769957102","0.188445444057704","0.0317847118015548"
"Sun2","1","1","24","12","0.299745702278265","6.79263186810577","0.30155998248144","0.0443951605705867"
"Thoc2","1","1","24","18","0.073094323369251","5.94866922703338","0.200428538813194","0.0336930044626381"
"Nol8","1","1","24","6","0.0869010325574206","5.78922218400688","0.0379587396298571","0.00655679440577022"
"U2surp","1","1","24","18","0.151150143345236","6.34763964243981","0.0305193957945663","0.00480799123984861"
"Baz1b","1","1","20","0","0.185081480197867","5.38638588942017","0.0296787291716988","0.00550995227244917"
"Trip12","1","1","20","0","0.15678264271633","4.78508593908919","0.104734875119404","0.0218877730625125"
"Krt18","1","1","20","6","0.184348278524308","8.94569781852197","0.285402836125887","0.0319039209590741"
"Dync1h1","1","1","20","18","0.227515045090852","2.7416474938216","0.206345839994517","0.0752634466901835"
"Safb","0.183333333333333","0.839847417840376","20","16","0.364621944603534","6.26167932322115","0.417245633351458","0.0666347814721399"
"Fbn1","1","1","20","4","1.58361425706685","-1.49939502290769","0.535714193045192","0.357286895621618"
"Nxf1","1","1","20","10","0.156804484828181","7.81743862876212","0.0742595547978888","0.00949921813580616"
"Rbm10","1","1","20","8","0.104897182775874","6.79886901895348","0.000802527401391385","0.000118038367727654"
