BH.Q	ADJ.P	PER	LAG	AMP
Dhx40	0.121120616448334	0.00533014872615713	24	10	0.42710255461445
Igkc	0.121120616448334	0.00533014872615713	24	2	0.340332644398403
Pop5	0.121120616448334	0.00533014872615713	24	8	0.280231059109046
Rnf126	0.136719892931285	0.00754717031043186	20	18	1.50989588630119
Znf335	0.136719892931285	0.00754717031043186	20	18	1.47726364543071
Mcm7	0.136719892931285	0.00754717031043186	20	18	1.36504910154602
Nr3c1	0.136719892931285	0.00754717031043186	20	16	1.32678194190709
Trim3	0.136719892931285	0.00754717031043186	20	18	1.31501382442311
Znf473	0.136719892931285	0.00754717031043186	20	16	1.31220249083328
Pip4p1	0.136719892931285	0.00754717031043186	20	8	1.30806116131394
Miga2	0.136719892931285	0.00754717031043186	20	18	1.29897370243952
Anp32a	0.136719892931285	0.00754717031043186	20	18	1.2840895448027
Akr1d1	0.136719892931285	0.00754717031043186	24	18	1.28074603726092
Rpl23a	0.136719892931285	0.00754717031043186	20	0	1.23009909336365
Bcar3	0.136719892931285	0.00754717031043186	20	18	1.22164127689448
Rab5if	0.136719892931285	0.00754717031043186	24	20	1.12996605600444
Bmal1	0.136719892931285	0.00754717031043186	24	8	1.12802707206528
Foxo1	0.136719892931285	0.00754717031043186	20	18	1.11349021496783
