BH.Q	ADJ.P	PER	LAG	AMP
Bhlhe40	0.0701373788648875	0.00255268389407045	20	16	0.482957899057052
Stau1	0.0701373788648875	0.00255268389407045	20	16	0.450050465243711
Odf2l	0.0701373788648875	0.00255268389407045	24	18	0.292879564050237
Cacul1	0.0837095906302805	0.00371463344953366	20	18	1.54199318538308
Pias3	0.0837095906302805	0.00371463344953366	20	18	1.49983334965511
Ifih1	0.0837095906302805	0.00371463344953366	20	16	1.49308476143311
Emsy	0.0837095906302805	0.00371463344953366	20	18	1.37781925343569
Tgfbr2	0.0837095906302805	0.00371463344953366	20	8	1.35478826392707
Clk3	0.0837095906302805	0.00371463344953366	20	16	1.33329046998708
Rnf111	0.0837095906302805	0.00371463344953366	20	18	1.32333078348127
Recql	0.0837095906302805	0.00371463344953366	20	18	1.27373037606119
Rnf14	0.0837095906302805	0.00371463344953366	20	18	1.25172201203598
Pdxdc1	0.0837095906302805	0.00371463344953366	20	16	1.21053578275969
Cyp2d26	0.0837095906302805	0.00371463344953366	20	4	1.20802060517316
Kdm3b	0.0837095906302805	0.00371463344953366	20	18	1.20332582562115
Utp15	0.0837095906302805	0.00371463344953366	20	18	1.19236604980696
Atp1a3	0.0837095906302805	0.00371463344953366	20	18	1.17307471093488
Sin3b	0.0837095906302805	0.00371463344953366	20	16	1.17070508885886
Alas1	0.0837095906302805	0.00371463344953366	24	16	1.14468926011383
Rbm19	0.0837095906302805	0.00371463344953366	20	16	1.09564304996104
Tiam2	0.0837095906302805	0.00371463344953366	20	2	1.09252021800812
Foxq1	0.0837095906302805	0.00371463344953366	20	16	1.08488494996639
Znf280c	0.0837095906302805	0.00371463344953366	24	4	1.06457456483917
Ambra1	0.0837095906302805	0.00371463344953366	20	18	1.02869565220761
Ap3s1	0.0837095906302805	0.00371463344953366	20	16	1.01860476581484
Snapc1	0.0837095906302805	0.00371463344953366	24	16	0.999298046179048
Sec24a	0.0837095906302805	0.00371463344953366	24	20	0.939654907847257
Atxn2	0.0837095906302805	0.00371463344953366	20	16	0.933898918577906
Vrk3	0.0837095906302805	0.00371463344953366	24	6	0.915428814877929
Utp6	0.0837095906302805	0.00371463344953366	20	18	0.904811931612245
Ssrp1	0.0837095906302805	0.00371463344953366	24	6	0.845744255764093
Llph	0.0837095906302805	0.00371463344953366	20	18	0.843638218356153
Mpc2	0.0837095906302805	0.00371463344953366	24	6	0.837598853505208
Spout1	0.0837095906302805	0.00371463344953366	24	18	0.825689439962068
Hmg20b	0.0837095906302805	0.00371463344953366	20	18	0.804982938992412
Ssbp3	0.0837095906302805	0.00371463344953366	20	0	0.803103896766027
Mad2l1	0.0837095906302805	0.00371463344953366	24	20	0.757772516989975
Rfc1	0.0837095906302805	0.00371463344953366	24	8	0.651032368028502
Prkar1a	0.0837095906302805	0.00371463344953366	24	18	0.616612736168833
G6pc3	0.0837095906302805	0.00371463344953366	24	8	0.547389621268929
Smad3	0.0837095906302805	0.00371463344953366	24	0	0.501084185765564
Celf2	0.0837095906302805	0.00371463344953366	24	2	0.424088606414127
Mblac2	0.0837095906302805	0.00371463344953366	24	18	0.393538899059711
Slc20a2	0.0837095906302805	0.00371463344953366	20	4	0.178047385701775
Zfhx2	0.0981587962544636	0.00533014872615713	20	18	1.53984788622419
Etv6	0.0981587962544636	0.00533014872615713	20	18	1.42661864958749
Cse1l	0.0981587962544636	0.00533014872615713	24	22	1.41856452252914
Uvssa	0.0981587962544636	0.00533014872615713	20	18	1.40281744147451
Pip4p1	0.0981587962544636	0.00533014872615713	20	8	1.38671126338044
Rnf126	0.0981587962544636	0.00533014872615713	20	18	1.36601161365893
Arhgef10l	0.0981587962544636	0.00533014872615713	20	16	1.33296617164051
Alg6	0.0981587962544636	0.00533014872615713	20	8	1.32277317386156
Arnt	0.0981587962544636	0.00533014872615713	20	18	1.26999283057154
Pdcd4	0.0981587962544636	0.00533014872615713	20	16	1.2677027012966
Pcmtd2	0.0981587962544636	0.00533014872615713	20	18	1.25782962008103
Sall2	0.0981587962544636	0.00533014872615713	20	0	1.2435219201138
Rpl23a	0.0981587962544636	0.00533014872615713	20	0	1.23002233738707
Sox6	0.0981587962544636	0.00533014872615713	20	18	1.22738232519965
Gps2	0.0981587962544636	0.00533014872615713	20	18	1.21640177819166
Dbnl	0.0981587962544636	0.00533014872615713	24	18	1.19525974933651
Hnf4a	0.0981587962544636	0.00533014872615713	20	18	1.1522326067927
Zbtb20	0.0981587962544636	0.00533014872615713	20	18	1.13813252982148
Trim41	0.0981587962544636	0.00533014872615713	20	18	1.11448683853873
Gpatch3	0.0981587962544636	0.00533014872615713	20	16	1.05733225903638
St13	0.0981587962544636	0.00533014872615713	24	2	1.05168640281372
Drg2	0.0981587962544636	0.00533014872615713	20	18	1.03354409598016
C8a	0.0981587962544636	0.00533014872615713	20	18	1.03258375142976
Cmbl	0.0981587962544636	0.00533014872615713	20	0	1.00942350126968
Yju2b	0.0981587962544636	0.00533014872615713	24	18	0.972815564830652
Igkc	0.0981587962544636	0.00533014872615713	24	2	0.962305103304187
Prkra	0.0981587962544636	0.00533014872615713	20	18	0.944798905000295
Foxp1	0.0981587962544636	0.00533014872615713	20	18	0.931537800168901
Creb3l3	0.0981587962544636	0.00533014872615713	20	16	0.877606479888808
