"CT0_1"	"CT0_3"	"CT0_4"	"CT4_1"	"CT4_3"	"CT4_4"	"CT8_1"	"CT8_2"	"CT8_3"	"CT12_1"	"CT12_2"	"CT12_4"	"CT16_1"	"CT16_2"	"CT16_4"	"Perko_1"	"Perko_2"	"Perko_3"
"Supt6h"	6.94722779985768	6.39299281612733	5.62007397318395	6.66026181821776	6.25271598533967	6.03488562588112	7.11537896230736	6.49823558931885	5.89030907301154	6.58222486078727	6.72072257448423	6.4444924646608	6.17582266207186	6.35156751426094	6.12962185980374	5.78565636736179	6.05790786432415	5.97482122346742
"Acin1"	8.22251983366353	8.04836375011412	7.50287471935408	8.19864555491541	7.98616795378326	7.58788702925267	8.07710132453771	7.50089303028129	7.93129255491029	8.11684543645003	8.1931198436937	7.73520611047763	7.96562361692011	8.04577838944613	7.77627422855614	7.51569288225488	7.6830399274346	7.15736446233667
"Krt8"	8.60447481303196	8.5716005297428	8.80070747785448	9.26995955914583	9.31322093852869	8.56820503895806	7.73267021405135	9.45108637502723	9.1018194721378	8.23886632607113	9.12493677866562	9.08016239271877	9.04005572777224	9.35654463125126	9.15312033772544	10.1941598555743	9.74260194535204	9.79433042775398
"Chd4"	6.11779662469114	4.99904178202975	5.19243033752684	5.00314166017438	4.62395724338242	5.57185931511151	5.98725161657269	5.16454062755244	4.97114351795747	5.01565744632544	4.87377656577063	5.08449913201327	4.76337154264094	4.73828650307741	5.11008118475672	4.98061061594826	4.89411588464249	5.70387501853091
"Znf638"	7.1088660655168	6.90445091352154	5.78160717723353	6.76130271449105	6.87052337433052	6.59613001027445	6.89148284925501	6.55823299586639	6.81438909675835	6.98054701666409	6.79941334605808	6.54611479478183	6.80731285660509	6.77012891879358	6.43594983947794	6.05734026019947	6.37219407362148	6.96607124295572
"Nup155"	8.08436380040529	8.940927780494	8.59462532342845	8.66065129141662	8.54675923303729	8.54366261711677	8.08739191907092	8.86728579158307	8.73551534389167	8.23336602921372	8.74626617629567	8.60163603834777	8.61177182407539	8.38808422595367	8.55590987642162	8.26116238583313	8.35859905568924	7.8348288800838
"Sptbn1"	4.07725695212332	4.03805100158328	5.25853806267036	5.23805060151622	4.73587815407175	4.79397572250345	3.78373467642341	4.64086691515548	4.50260912723915	4.14374230224747	4.26698465800625	4.98297233972726	4.7293463252968	4.32619295984135	4.76653388497541	5.33046767997715	5.20993928732011	4.8892925448947
"Urb1"	6.60709083169093	7.02392417745371	7.08347562028665	6.62618996471865	6.47668320247554	6.82812124187971	6.50225505612267	6.82260039817131	6.91645769586425	6.79923026881922	6.80294362339389	6.79763922766503	7.04461690522589	7.03466211892643	7.09580917859678	6.89584738979122	6.73549590873893	5.35783062046213
"Trrap"	5.96107832832773	5.23977749199346	4.75182099032281	5.44121448925373	4.55300924877169	5.241922678741	5.86625304749106	5.27505739365865	4.78939487799651	5.57334760862134	5.57864301854024	5.29289144712527	5.54663908536788	5.45734463143457	5.56758742462189	5.11019642756519	4.9714965019435	3.16431305506856
"Myh1"	-3.98591234549304	0.448191535366206	3.40547413640906	-5.78041430147182	-5.26004953461145	-5.18841661205443	-6.83204006210722	-5.88992023352843	-5.71642635406577	-5.62850310104295	-5.84250939988033	-4.41186509745505	-3.95543838206193	-2.74098777124146	4.44910888504226	-3.84354498274179	2.17916421656974	-3.09076848147939
